                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3545,                 2.1141,                 2.4151,                0.51304,                0.43333,                0.44648,                0.18131,                  2.119,                 2.3146,                  2.579,                0.00026,                0.00026,                0.00026
                      2,                  2.357,                 2.3245,                 2.5015,                0.69533,                0.41845,                0.52768,                0.20808,                 2.2156,                 2.3476,                 2.6654,             0.00051327,             0.00051327,             0.00051327
                      3,                 2.3768,                 2.1901,                 2.5472,                0.53342,                0.43333,                 0.3949,                0.19327,                 2.1604,                 2.4133,                 2.6485,             0.00073882,             0.00073882,             0.00073882
                      4,                 2.3835,                  2.133,                 2.4843,                0.42748,                   0.55,                0.41579,                0.19347,                 2.1369,                  2.482,                 2.5905,             0.00093665,             0.00093665,             0.00093665
                      5,                 2.3631,                 2.1271,                 2.4588,                0.52839,                   0.45,                0.47116,                0.19612,                 2.2553,                 2.4809,                 2.6615,              0.0011068,              0.0011068,              0.0011068
                      6,                 2.2739,                 2.1515,                 2.4453,                0.43681,                   0.55,                 0.4163,                0.17897,                 2.1393,                 2.1801,                 2.5051,              0.0012491,              0.0012491,              0.0012491
                      7,                 2.3755,                 2.1463,                 2.4334,                0.49516,                0.50683,                 0.4905,                0.20386,                 2.0361,                 2.1226,                 2.4786,              0.0013638,              0.0013638,              0.0013638
                      8,                 2.2315,                 1.9948,                 2.3212,                0.47217,                0.48333,                0.42597,                0.18717,                  2.079,                 2.1331,                 2.5363,               0.001307,               0.001307,               0.001307
                      9,                 2.2487,                 2.0742,                 2.3713,                0.66123,                0.66667,                0.64244,                0.26983,                  2.069,                 1.8862,                 2.4803,               0.001208,               0.001208,               0.001208
                     10,                 2.2383,                 1.8663,                  2.277,                0.36512,                0.51667,                0.46341,                0.19569,                 2.1324,                 1.9285,                 2.4047,               0.001109,               0.001109,               0.001109
                     11,                 2.0903,                 1.9503,                 2.2722,                0.68539,                0.43576,                0.59577,                0.27085,                 2.1185,                 1.8609,                 2.4428,                0.00101,                0.00101,                0.00101
                     12,                  2.059,                 1.8746,                 2.2712,                 0.6054,                0.56667,                0.51859,                0.23641,                 2.0567,                 1.9583,                 2.4167,               0.000911,               0.000911,               0.000911
                     13,                 2.0352,                 1.7487,                 2.2552,                0.69245,                0.56667,                0.62612,                0.28849,                 1.9545,                 1.8913,                 2.3407,               0.000812,               0.000812,               0.000812
                     14,                 1.9844,                 1.7453,                 2.2267,                0.79898,                0.63333,                0.69653,                0.28199,                 1.9554,                 1.6663,                 2.3661,               0.000713,               0.000713,               0.000713
                     15,                 2.0478,                 1.7256,                 2.2414,                0.64638,                0.63984,                 0.6865,                0.30682,                 1.9138,                 1.6744,                  2.293,               0.000614,               0.000614,               0.000614
                     16,                 1.9453,                 1.6697,                 2.1273,                0.67204,                   0.65,                0.67724,                0.35555,                 1.8745,                 1.6946,                 2.2744,               0.000515,               0.000515,               0.000515
                     17,                 1.9635,                 1.6187,                  2.153,                0.81187,                0.56667,                0.70931,                0.38461,                 1.8247,                 1.6545,                 2.2239,               0.000416,               0.000416,               0.000416
                     18,                 1.9526,                   1.59,                 2.1022,                0.74817,                   0.65,                0.73458,                0.35095,                 1.8547,                  1.657,                 2.2195,               0.000317,               0.000317,               0.000317
                     19,                 1.8961,                 1.5223,                 2.0569,                0.81827,                 0.6755,                0.75313,                 0.3779,                 1.8079,                 1.6281,                 2.1875,               0.000218,               0.000218,               0.000218
                     20,                 1.8676,                 1.5547,                 2.0375,                0.84087,                0.66667,                 0.7566,                0.40308,                 1.7667,                 1.5637,                 2.1645,               0.000119,               0.000119,               0.000119
